time,phase,cash,shares,short_calls,option_ric,strike,expiry,stock_mark,option_mark,lmv,option_mv,nav,initial,maintenance,available,excess,mark_status,benchmark_nav
2026-07-13T14:00:00Z,hourly,30000.0,0,0,,,,321.215,0,0.0,0,30000.0,0.0,0.0,30000.0,30000.0,observed,30000.0
2026-07-13T15:00:00Z,after-entry,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,319.075,3.25,31907.5,-325.0,30000.0,15953.75,7976.875,14046.25,22023.125,observed,30000.0
2026-07-13T16:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,317.12,2.415,31712.0,-241.5,29888.0,15856.0,7928.0,14032.0,21960.0,observed,29804.5
2026-07-13T17:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,316.605,2.235,31660.5,-223.5,29854.5,15830.25,7915.125,14024.25,21939.375,observed,29753.000000000004
2026-07-13T18:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,316.16,2.1399999999999997,31616.000000000004,-213.99999999999997,29819.500000000004,15808.000000000002,7904.000000000001,14011.500000000002,21915.500000000004,observed,29708.500000000004
2026-07-13T19:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,317.2252,2.48,31722.519999999997,-248.0,29892.019999999997,15861.259999999998,7930.629999999999,14030.759999999998,21961.39,observed,29815.019999999997
2026-07-13T20:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,317.47,2.585,31747.000000000004,-258.5,29906.000000000004,15873.500000000002,7936.750000000001,14032.500000000002,21969.250000000004,observed,29839.500000000004
2026-07-14T14:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,314.522,1.38,31452.2,-138.0,29731.7,15726.1,7863.05,14005.6,21868.65,observed,29544.7
2026-07-14T15:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,314.9501,1.43,31495.010000000002,-143.0,29769.510000000002,15747.505000000001,7873.7525000000005,14022.005000000001,21895.7575,observed,29587.510000000002
2026-07-14T16:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,313.288,1.04,31328.800000000003,-104.0,29642.300000000003,15664.400000000001,7832.200000000001,13977.900000000001,21810.100000000002,observed,29421.300000000003
2026-07-14T17:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,314.12,1.18,31412.0,-118.0,29711.5,15706.0,7853.0,14005.5,21858.5,observed,29504.5
2026-07-14T18:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,315.196,1.38,31519.600000000002,-138.0,29799.100000000002,15759.800000000001,7879.900000000001,14039.300000000001,21919.2,observed,29612.100000000002
2026-07-14T19:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,315.494,1.41,31549.4,-141.0,29825.9,15774.7,7887.35,14051.2,21938.550000000003,observed,29641.900000000005
2026-07-14T20:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,314.92,1.26,31492.0,-126.0,29783.5,15746.0,7873.0,14037.5,21910.5,observed,29584.500000000004
2026-07-15T14:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,320.765,3.325,32076.5,-332.5,30161.5,16038.25,8019.125,14123.25,22142.375,observed,30169.0
2026-07-15T15:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,323.9258,5.35,32392.579999999998,-535.0,30275.079999999998,16196.289999999999,8098.1449999999995,14078.789999999999,22176.934999999998,observed,30485.079999999998
2026-07-15T16:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,326.3058,7.325,32630.579999999998,-732.5,30315.579999999998,16315.289999999999,8157.6449999999995,14000.289999999999,22157.934999999998,observed,30723.079999999998
2026-07-15T17:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,327.96,8.65,32796.0,-865.0,30348.5,16398.0,8199.0,13950.5,22149.5,observed,30888.5
2026-07-15T18:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,327.5851,8.475,32758.510000000002,-847.5,30328.510000000002,16379.255000000001,8189.6275000000005,13949.255000000001,22138.8825,observed,30851.010000000002
2026-07-15T19:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,327.525,8.225,32752.499999999996,-822.5,30347.499999999996,16376.249999999998,8188.124999999999,13971.249999999998,22159.374999999996,observed,30845.0
2026-07-15T20:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,327.43,8.05,32743.0,-805.0000000000001,30355.5,16371.5,8185.75,13984.0,22169.75,observed,30835.5
2026-07-16T14:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,331.12,11.175,33112.0,-1117.5,30412.0,16556.0,8278.0,13856.0,22134.0,observed,31204.5
2026-07-16T15:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,330.1829,10.399999999999999,33018.29,-1039.9999999999998,30395.79,16509.145,8254.5725,13886.645,22141.2175,observed,31110.790000000005
2026-07-16T16:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,331.85,12.0,33185.0,-1200.0,30402.5,16592.5,8296.25,13810.0,22106.25,observed,31277.500000000004
2026-07-16T17:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,332.0729,12.175,33207.29,-1217.5,30407.29,16603.645,8301.8225,13803.645,22105.4675,observed,31299.79
2026-07-16T18:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,331.635,11.925,33163.5,-1192.5,30388.5,16581.75,8290.875,13806.75,22097.625,observed,31256.0
2026-07-16T19:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,333.18,13.45,33318.0,-1345.0,30390.5,16659.0,8329.5,13731.5,22061.0,observed,31410.5
2026-07-16T20:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,333.22,13.5,33322.0,-1350.0,30389.5,16661.0,8330.5,13728.5,22059.0,observed,31414.500000000004
2026-07-17T14:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,330.98,11.100000000000001,33098.0,-1110.0000000000002,30405.5,16549.0,8274.5,13856.5,22131.0,observed,31190.500000000004
2026-07-17T15:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,333.1772,13.025,33317.72,-1302.5,30432.72,16658.86,8329.43,13773.86,22103.29,observed,31410.220000000005
2026-07-17T16:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,332.3458,12.350000000000001,33234.58,-1235.0000000000002,30417.08,16617.29,8308.645,13799.79,22108.435,observed,31327.08
2026-07-17T17:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,330.5529,10.625,33055.29,-1062.5,30410.29,16527.645,8263.8225,13882.645,22146.4675,observed,31147.790000000005
2026-07-17T18:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,331.78,11.825,33178.0,-1182.5,30413.0,16589.0,8294.5,13824.0,22118.5,observed,31270.5
2026-07-17T19:00:00Z,hourly,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,333.926,14.149999999999999,33392.6,-1414.9999999999998,30395.1,16696.3,8348.15,13698.8,22046.949999999997,observed,31485.1
2026-07-17T20:00:00Z,pre-expiry,-1582.5,100,1,AAPLG172632000.U^G26,320.0,2026-07-17,333.53,13.529999999999973,33353.0,-1352.9999999999973,30417.500000000004,16676.5,8338.25,13741.000000000004,22079.250000000004,observed,31445.5
2026-07-17T20:00:00Z,post-expiry,30417.5,0,0,,,,333.53,0,0.0,0,30417.5,0.0,0.0,30417.5,30417.5,observed,31445.5
2026-07-20T14:00:00Z,hourly,30417.5,0,0,,,,328.91,0,0.0,0,30417.5,0.0,0.0,30417.5,30417.5,observed,30983.500000000004
2026-07-20T15:00:00Z,after-entry,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,326.42,4.15,32642.0,-415.00000000000006,30417.5,16321.0,8160.5,14096.5,22257.0,observed,30734.500000000004
2026-07-20T16:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,325.996,3.8,32599.6,-380.0,30410.1,16299.8,8149.9,14110.3,22260.199999999997,observed,30692.1
2026-07-20T17:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,324.2577,2.91,32425.77,-291.0,30325.27,16212.885,8106.4425,14112.385,22218.8275,observed,30518.27
2026-07-20T18:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,324.802,3.075,32480.2,-307.5,30363.2,16240.1,8120.05,14123.1,22243.15,observed,30572.700000000004
2026-07-20T19:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,326.77,4.025,32677.0,-402.50000000000006,30465.0,16338.5,8169.25,14126.5,22295.75,observed,30769.5
2026-07-20T20:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,326.65,4.25,32664.999999999996,-425.0,30430.499999999996,16332.499999999998,8166.249999999999,14097.999999999998,22264.249999999996,observed,30757.5
2026-07-21T14:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,324.115,2.785,32411.5,-278.5,30323.5,16205.75,8102.875,14117.75,22220.625,observed,30504.000000000004
2026-07-21T15:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,327.1158,3.8,32711.579999999998,-380.0,30522.079999999998,16355.789999999999,8177.8949999999995,14166.289999999999,22344.184999999998,observed,30804.079999999998
2026-07-21T16:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,328.7832,4.625,32878.32,-462.5,30606.32,16439.16,8219.58,14167.16,22386.739999999998,observed,30970.820000000003
2026-07-21T17:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,328.435,4.375,32843.5,-437.5,30596.5,16421.75,8210.875,14174.75,22385.625,observed,30936.0
2026-07-21T18:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,327.68,3.95,32768.0,-395.0,30563.5,16384.0,8192.0,14179.5,22371.5,observed,30860.5
2026-07-21T19:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,328.185,4.225,32818.5,-422.49999999999994,30586.5,16409.25,8204.625,14177.25,22381.875,observed,30911.0
2026-07-21T20:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,327.61,3.95,32761.0,-395.0,30556.5,16380.5,8190.25,14176.0,22366.25,observed,30853.500000000004
2026-07-22T14:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,325.95,2.6399999999999997,32595.0,-263.99999999999994,30521.5,16297.5,8148.75,14224.0,22372.75,observed,30687.5
2026-07-22T15:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,325.6,2.295,32560.000000000004,-229.5,30521.000000000004,16280.000000000002,8140.000000000001,14241.000000000002,22381.000000000004,observed,30652.500000000004
2026-07-22T16:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,325.08,2.0300000000000002,32508.0,-203.00000000000003,30495.5,16254.0,8127.0,14241.5,22368.5,observed,30600.5
2026-07-22T17:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,324.2,1.76,32420.0,-176.0,30434.5,16210.0,8105.0,14224.5,22329.5,observed,30512.5
2026-07-22T18:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,323.938,1.5750000000000002,32393.8,-157.50000000000003,30426.8,16196.9,8098.45,14229.9,22328.35,observed,30486.3
2026-07-22T19:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,324.3,1.6400000000000001,32430.0,-164.0,30456.5,16215.0,8107.5,14241.5,22349.0,observed,30522.500000000004
2026-07-22T20:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,326.09,2.415,32608.999999999996,-241.5,30557.999999999996,16304.499999999998,8152.249999999999,14253.499999999998,22405.749999999996,observed,30701.5
2026-07-23T14:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,320.1297,0.495,32012.97,-49.5,30153.97,16006.485,8003.2425,14147.485,22150.7275,observed,30105.47
2026-07-23T15:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,321.3,0.475,32130.0,-47.5,30273.0,16065.0,8032.5,14208.0,22240.5,observed,30222.500000000004
2026-07-23T16:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,320.8815,0.405,32088.15,-40.5,30238.15,16044.075,8022.0375,14194.075,22216.112500000003,observed,30180.65
2026-07-23T17:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,320.6145,0.33999999999999997,32061.45,-34.0,30217.95,16030.725,8015.3625,14187.225,22202.5875,observed,30153.950000000004
2026-07-23T18:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,320.526,0.33999999999999997,32052.600000000002,-34.0,30209.100000000002,16026.300000000001,8013.150000000001,14182.800000000001,22195.95,observed,30145.100000000002
2026-07-23T19:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,320.72,0.305,32072.000000000004,-30.5,30232.000000000004,16036.000000000002,8018.000000000001,14196.000000000002,22214.000000000004,observed,30164.500000000004
2026-07-23T20:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,321.58,0.29500000000000004,32158.0,-29.500000000000004,30319.0,16079.0,8039.5,14240.0,22279.5,observed,30250.5
2026-07-24T14:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,326.8999,1.03,32689.99,-103.0,30777.49,16344.995,8172.4975,14432.495,22604.9925,observed,30782.49
2026-07-24T15:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,329.965,2.795,32996.5,-279.5,30907.5,16498.25,8249.125,14409.25,22658.375,observed,31089.0
2026-07-24T16:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,333.056,5.675,33305.6,-567.5,30928.6,16652.8,8326.4,14275.8,22602.199999999997,observed,31398.1
2026-07-24T17:00:00Z,hourly,-1809.5,100,1,AAPLG242632750.U^G26,327.5,2026-07-24,333.192,5.65,33319.2,-565.0,30944.699999999997,16659.6,8329.8,14285.099999999999,22614.899999999998,observed,31411.7
